year,month,bias,rmse,mae,r
2015,01,0.00033074298193011114,0.0005563701273750247,0.0003856822913574181,0.8846939615258291
2015,02,0.00028742701830922695,0.0005103857424940359,0.0003613673845147206,0.8519731346324856
2015,03,0.0002742684836208732,0.0004537590547601793,0.00032875229955742593,0.8571340932198356
2015,05,0.00030780926805064037,0.0004415017806699198,0.00034307481060581675,0.8217106801435421
2015,06,0.0003063982567074724,0.0004655815145735775,0.00034748341893225786,0.8755200686007271
2015,07,0.0003785407139079762,0.0005378216740178265,0.00040320400569870377,0.8780070410698964
2015,08,0.0003871984907438683,0.0005453726296131161,0.0004104546596235831,0.8745154641394437
2015,09,0.00033430401749864484,0.0005078170895450988,0.0003644044675245997,0.8918341233560205
2015,10,0.0002733238613194155,0.0004374254987085677,0.0003117351422928202,0.8800781143053639
2015,11,0.00026044936129248296,0.0004154311829117529,0.00029634275822314985,0.8497417342848408
2015,12,0.00029342427142964626,0.0004649019023598114,0.0003255602542027077,0.8812821049398002
