Date,SIF_mean,phiF_mean,ONI
2014-09-01,0.8474068502947073,0.8505523204803467,0.1
2014-10-01,0.7485728620923723,0.731350015848875,0.2
2014-11-01,0.8660371663242413,0.6111450027674437,0.5
2014-12-01,1.0979430608196006,0.551211554557085,0.5
2015-01-01,1.1087054815992239,0.6163563579320908,0.5
2015-02-01,0.7417045224000888,0.9567149914801121,0.5
2015-03-01,0.7103211608417513,0.7971169427037239,0.5
2015-04-01,,0.5002936348319054,0.5
2015-05-01,0.9101855391941583,0.8595644496381283,0.7
2015-06-01,1.511489676270282,1.0979901067912579,0.9
2015-07-01,1.7110590492717115,1.3271750882267952,1.2
2015-08-01,1.278552894398598,1.14763043820858,1.5
2015-09-01,0.7707319417757713,0.8538384921848774,1.9
2015-10-01,0.6509473355492882,0.7727453019469976,2.2
2015-11-01,0.9060888767330716,0.5600797943770885,2.4
2015-12-01,1.0872274368275257,0.520930252969265,2.5
2016-01-01,1.014594779385813,0.6593882571905851,2.5
2016-02-01,0.8274069752982085,0.9025600738823414,2.5
2016-03-01,0.695469180472125,0.8162581361830235,2.1
2016-04-01,0.7842939294350965,0.7682002149522305,1.6
2016-05-01,1.0246851888997244,0.8755872026085854,0.9
2016-06-01,1.5739966369816114,1.1910646222531796,0.4
2016-07-01,1.727577766332213,1.3329247944056988,-0.1
2016-08-01,1.330726753237861,1.1581632308661938,-0.4
2016-09-01,0.8703417313348913,0.9157657623291016,-0.5
2016-10-01,0.6529872001930992,0.8553312160074711,-0.6
2016-11-01,0.8219793367162924,0.6441659294068813,-0.7
2016-12-01,1.1517037217565218,0.5340771283954382,-0.3
2017-01-01,1.0421050896255508,0.7168903015553951,-0.3
2017-02-01,0.75535130632227,1.0868365876376629,-0.3
2017-03-01,0.7161299102434344,0.8182868361473083,-0.2
2017-04-01,0.8097515249793639,0.74532818980515,0.1
2017-05-01,0.9840680710744744,0.8931836113333702,0.2
2017-06-01,1.489733861926227,1.150432974100113,0.3
2017-07-01,1.71099035164799,1.2526697479188442,0.3
2017-09-01,,0.5799083970487118,-0.1
2017-10-01,0.6477723314269984,0.8577690459787846,-0.4
2017-11-01,0.8713778995038052,0.7033052388578653,-0.7
2017-12-01,1.0882934881892423,0.5312851164489985,-0.9
2018-01-01,1.0376012011547515,0.6695582065731287,-0.9
2018-02-01,0.7934046403010516,0.9557618759572506,-0.9
2018-03-01,0.7049437709808094,0.807324331253767,-0.9
2018-04-01,0.677810797724067,0.708460807800293,-0.7
2018-05-01,0.948827364381526,0.8377493359148502,-0.5
2018-06-01,1.4804865032796986,1.144958846271038,-0.2
2018-07-01,1.69249182218582,1.242939941585064,0.0
2018-08-01,1.396974137686547,1.173486653715372,0.1
2018-09-01,0.8669663166186601,0.9207555092871189,0.2
2018-10-01,0.746937539459018,0.801545288413763,0.5
2018-11-01,0.9156505639063401,0.7852250710129738,0.8
2018-12-01,1.2462522957680786,0.5573463626205921,0.7
2019-01-01,1.1126838378483557,0.6556239910423756,0.7
2019-02-01,0.7354288714907736,0.9865154512226582,0.7
2019-03-01,0.7123438877256368,0.8262092247605324,0.7
2019-04-01,0.7450006170619645,0.7683883886784315,0.7
2019-05-01,0.9870366335049676,0.8781012147665024,0.7
2019-06-01,1.5175316435748765,1.1549128219485283,0.5
2019-07-01,1.7313435525837253,1.3584527187049389,0.5
2019-08-01,1.3432385869587995,1.1726678349077702,0.3
2019-09-01,0.8473957876611091,0.9709562174975872,0.1
2019-10-01,0.7122638497270988,0.7784679532051086,0.2
2019-11-01,0.8718554766420508,0.5940854083746672,0.3
2019-12-01,1.1621464125506267,0.5493658129125834,0.5
2020-01-01,1.0527766071211027,0.6643923930823803,0.5
2020-02-01,0.8206430977626179,0.8790629915893078,0.5
2020-03-01,0.7113620658405401,0.8411699905991554,0.5
2020-04-01,0.7502011996203988,0.944217387586832,0.4
