year,month,bias,rmse,mae,r
2018,01,0.00036416975702125185,0.0005777108386851374,0.00041708132562592014,0.8575828650162515
2018,02,0.00030358201745762106,0.000580370999482836,0.0004239278254176325,0.8387999016610019
2018,03,0.00029961656466811874,0.000501578420935156,0.0003719599520933757,0.837572435112465
2018,04,0.00025892025830805257,0.00042437199582240494,0.0003178127676654263,0.7730797455634789
2018,05,0.00031430737662510594,0.00045578969493384415,0.0003521655314690435,0.8038003668757872
2018,06,0.0003568228638316729,0.0005224998293607112,0.0003918193811507571,0.8648703634764044
2018,07,0.0004644823890416755,0.0006239436947570007,0.0004828277668392126,0.878626985344265
2018,08,0.000402810455656194,0.0005487713000372494,0.00042412077167517146,0.8466216759163425
2018,09,0.0003559094121993594,0.0005266014845870543,0.0003855973745969243,0.8702610611999023
2018,10,0.0002933379212611102,0.0004560146070130174,0.00032705688733549007,0.8688089587133125
2018,11,0.00028946839264526035,0.00046288238685269963,0.0003304560865930958,0.858915043423615
2018,12,0.0003220837761787265,0.0005069287512549757,0.0003635109393330542,0.8684443300533315
