year,month,bias,rmse,mae,r
2016,01,0.0003954633487108361,0.0006206968275222923,0.00043648997296984085,0.8758583808553317
2016,02,0.00033156838639103974,0.0005577538705317921,0.00039166357104997835,0.8767815681410113
2016,03,0.00028770847400054673,0.00047869607403168933,0.0003445786094369973,0.85998809191333
2016,04,0.00023472321905565154,0.0003944103632232215,0.00029829292170927306,0.7791356358028171
2016,05,0.00026798775296046836,0.0004434153154904938,0.0003333165803137338,0.8375206118678623
2016,06,0.00037129809031898086,0.0005247987439359719,0.0003986187013798669,0.8760669240151685
2016,07,0.00042357001803634733,0.0005748928457357658,0.00044130014556037625,0.8871345785759277
2016,08,0.00042906634832218547,0.000588450559445437,0.0004476340435404464,0.8915090677384088
2016,09,0.0003591920228532485,0.0005317803348871324,0.00038415773070313893,0.8902809910423384
2016,10,0.00031802064011321517,0.0004832670362618556,0.0003467732411658776,0.8922381646311839
2016,11,0.0002744257203859828,0.00044121321148153506,0.0003093989708984013,0.8815451202601431
2016,12,0.0003309603054181772,0.0005459195310335771,0.00038033548263303394,0.8930105977910833
