year,month,bias,rmse,mae,r
2017,01,0.0003487754046859356,0.0005875696019251066,0.00041359085818942906,0.875027694489651
2017,02,0.00029640076514257874,0.0005258913983349665,0.00037567452423976097,0.8596894288340383
2017,03,0.0002933367213395574,0.0004695656828082416,0.000348435851542553,0.8324071994695664
2017,04,0.00020291867474797745,0.00037406800934573694,0.00027407320225761187,0.75010361967706
2017,05,0.00025764195736367626,0.0004336382137785049,0.0003261297098647222,0.807569795607063
2017,06,0.00034921772865680365,0.0005053525674711466,0.0003828413646754671,0.8719566458886293
2017,07,0.00042919738252129316,0.000577942307927729,0.00044811783318640707,0.8765729711279822
2017,10,0.000287808120124884,0.00045674527338867763,0.00032690053901251,0.8654173352011673
2017,11,0.00026457346658814506,0.00043802586119881407,0.0003097401726634767,0.8572049409511807
2017,12,0.00031832353468117707,0.0004907193495840532,0.0003508582838408898,0.8774225946504498
